Category,Title,Summary,Data Accessed (dmy),Source
Survival,Safe Travel,"Check the weather, research and plan a safe route, tell others, hire a guide, pack the right gear, stay within your limits, and track time.",23 Oct 2025,https://sketchplanations.com/kitchen-table-survival-skills
Survival,Photograph Maps,Photograph maps along the trail for future reference.,23 Oct 2025,https://sketchplanations.com/take-photos-of-maps
Hygeine,Dracula Sneeze,Sneeze into your sleeve to prevent spreading germs.,23 Oct 2025,https://sketchplanations.com/dracula-sneeze
Hygeine,Pour Snacks,Pour snacks from their packaging and don't put your hand inside to prevent spreading germs.,23 Oct 2025,https://sketchplanations.com/pour-dont-dip-when-sharing-snacks
Shopping,Fast Lane,Wait in lines with a higher server-to-customer ratio for faster service.,23 Oct 2025,https://sketchplanations.com/choose-the-fast-line
Shopping,Food Packing,"Frozen and cold, heavy items on the bottom and fragile items on the top, distribute weight, and group items by their intended storage location.",23 Oct 2025,https://sketchplanations.com/pack-food-shopping-effectively
Gardening,Finger-dip Test,Dip a clean finger into soil by a knuckle and if it comes out clean then the soil is dry.,23 Oct 2025,https://sketchplanations.com/the-finger-dip-test-to-not-overwater-houseplants
IT,3-2-1 Backup Strategy,The primary copy and backup 1 are on separate local storage devices and backup 2 is off-site.,23 Oct 2025,https://en.wikipedia.org/wiki/Glossary_of_backup_terms
IT,Incremental Releases,Small incremental changes and releases reduce the likelihood and severity of bugs.,23 Oct 2025,https://sketchplanations.com/bugs-and-releases
Engineering,Forcing Function,Embed constraints in designs to enforce positive behaviours and prevent mistakes.,23 Oct 2025,https://sketchplanations.com/forcing-function
Marketing,Winking In The Dark,Nobody knows your product exists without marketing.,23 Oct 2025,https://sketchplanations.com/winking
Communication,Inverted Pyramid Writing,Prioritize presenting information by importance.,23 Oct 2025,https://sketchplanations.com/inverted-pyramid-writing
Communication,Top-down Writing,Structure information in a logical hierarchy with a main idea and linking ideas.,23 Oct 2025,https://sketchplanations.com/the-pyramid-principle
Graphic Design,Fidelity,"How closely a prototype matches the final product: low (simple), medium (balanced), and high (realistic).",3 Nov 2025,https://startup-house.com/blog/high-fidelity-prototypes