Category,Author,Text,Date Accessed (dmy),Source
Wisdom,Al-Kindi,"We must not be ashamed to admire the truth or to acquire it, from wherever it comes.",22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Buddha,"Lead by nonviolence, righteousness, and equity.",22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Buddha,Actively discern good from evil and choose good.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Buddhism,Do actions that are unpleasant but give good results and don’t do actions that are pleasant but give bad results.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Wisdom,Nicholas Maxwell,New knowledge without wisdom can cause both harm and good.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Paradoxes,,Solomon's Paradox: people reflect more wisely on other people's problems than on their own.,22 Oct 2025,https://en.wikipedia.org/wiki/Wisdom
Paradoxes,,Hedonism Paradox: pursuing pleasure directly can reduce long-term happiness.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Paradoxes,,Meno's Paradox: one cannot inquire about what they know or don't know.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Paradoxes,,Polanyi's Paradox: people can intuitively perform tasks but cannot articulate them.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes
Paradoxes,,Lottery Paradox: very low odds don’t make an event impossible.,22 Oct 2025,https://en.wikipedia.org/wiki/List_of_paradoxes